name,price,link,Hệ điều hành,Chip xử lý (CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Dung lượng lưu trữ,Dung lượng còn lại (khả dụng) khoảng,Danh bạ,Độ phân giải camera sau,Quay phim camera sau,Đèn Flash camera sau,Tính năng camera sau,Độ phân giải camera trước,Tính năng camera trước,Công nghệ màn hình,Độ phân giải màn hình,Màn hình rộng,Độ sáng tối đa,Mặt kính cảm ứng,Dung lượng pin,Loại pin,Hỗ trợ sạc tối đa,Công nghệ pin,Bảo mật nâng cao,Tính năng đặc biệt,"Kháng nước, bụi",Ghi âm,Xem phim,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,"Kích thước, khối lượng",Thời điểm ra mắt,Hãng,description,brand,sku,mpn,price_json,currency,Sạc kèm theo máy,Nghe nhạc,Radio,Thẻ nhớ,Đèn pin
Điện thoại Samsung Galaxy S26 Ultra 5G 12GB/256GB,33.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-ultra-12gb-256gb,Đang cập nhật,Qualcomm Snapdragon 8 Elite Gen 5 For Galaxy 8 nhân,Đang cập nhật,Đang cập nhật,12 GB,256 GB,Đang cập nhật,Đang cập nhật,"Chính 200 MP & Phụ 50 MP, 50 MP, 10 MP",Đang cập nhật,Có,Tự động lấy nét (AF),12 MP,Tự động lấy nét (AF),Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),"6.9"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Victus 2,5000 mAh,Đang cập nhật,60 W,Sạc ngược không dây,Mở khoá vân tay dưới màn hình,Khoanh tròn để tìm kiếm,IP68,Ghi âm mặc định,Đang cập nhật,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Có,Có,Có,Type-C,Type-C,NFC,Nguyên khối,Khung Armor Aluminum & Mặt lưng kính cường lực Gorilla Victus 2,Dài 163.6 mm - Ngang 78.1 mm - Dày 7.9 mm - Nặng 214 g,02/2026,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S26 Ultra 12GB/256GB giá tốt, giảm đến 6 triệu, thu cũ trợ giá đến 5tr, thanh toán qua VNPay giảm thêm 1 triệu, trả chậm 0% lãi suất. Đặt ngay đến 5/3!",['Samsung'],361951,361951,33990000.0,VND,,,,,
Điện thoại HONOR X8d 8GB/128GB,7.790.000₫,https://www.thegioididong.com/dtdd/honor-x8d-8gb-128gb,Android 16,Snapdragon 6s Gen 2 4G 8 nhân,"4 nhân 2.9 GHz, 4 nhân 1.9 GHz",Adreno 610,8 GB,128 GB,,Không giới hạn,Chính 108 MP & Phụ 5 MP,FullHD 1080p@30fps,Có,Trôi nhanh thời gian (Time Lapse),16 MP,Video hiển thị kép,AMOLED,Full HD+ (1080 x 2392 Pixels),"6.77"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3000 nits,Kính Aluminosilicate,7000 mAh,Li-Po,45 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Tóm tắt AI,IP65,Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Wi-Fi Direct,GPS,v5.1,Type-C,Type-C,NFC,Nguyên khối,Khung & Mặt lưng nhựa,Dài 162.9 mm - Ngang 76.31 mm - Dày 7.5 mm - Nặng 188 g,03/2026,HONOR. <span class='parameter__manu'>Xem thông tin hãng</span>,"Honor X8d 8GB/128GB giá tốt, giảm ngay 300K hoặc 1 đổi 1 trong 1 năm, trả chậm 0% lãi suất, bảo hành 24 tháng, thu cũ giảm đến 1 triệu. Mua ngay đến 31/3!",['HONOR'],362919,362919,8090000.0,VND,45 W,WAV,,,
Điện thoại Motorola Edge 70 8GB/256GB,12.490.000₫,https://www.thegioididong.com/dtdd/motorola-edge-70-8gb-256gb,Android 16,Snapdragon 7 Gen 4 8 nhân,"1 nhân 2.8 GHz, 4 nhân 2.4 GHz & 3 nhân 1.8 GHz",Adreno 722,8 GB,256 GB,216 GB,Không giới hạn,Chính 50 MP & Phụ 50 MP,FullHD 1080p@60fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Trôi nhanh thời gian (Time Lapse),P-OLED,1.5K (1220 x 2712 Pixels),"6.67"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",4500 nits,Kính cường lực Corning Gorilla Glass 7i,5000 mAh,Silicon-Carbon,68 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Độ bền chuẩn quân đội MIL-STD 810H,IP68 & IP69,Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi hotspot,GPS,v5.4,Type-C,,NFC,Nguyên khối,Khung hợp kim nhôm chuẩn hàng không & Mặt lưng Silicon Nylon,Dài 159.9 mm - Ngang 74.2 mm - Dày 5.99 mm - Nặng 159 g,03/2026,,"Motorola Edge 70 8GB/256GB giá tốt, giảm ngay 500K, miễn phí gói cước Viettel 5G (2GB/ngày, chu kỳ 15 ngày), trả góp 0% lãi suất, thu cũ giảm 1tr. Mua ngay!",['Motorola'],362374,362374,12490000.0,VND,68 W,WAV,,,
Điện thoại iPhone 17 Pro Max 256GB,37.990.000₫,https://www.thegioididong.com/dtdd/iphone-17-pro-max,iOS 26,Apple A19 Pro 6 nhân,Hãng không công bố,Apple GPU 6 nhân,Hãng không công bố,256 GB,241 GB,Không giới hạn,"Chính 48 MP & Phụ 48 MP, 48 MP",HD 720p@30fps,Có,Ảnh Raw,18 MP,Smart HDR 5,OLED,Super Retina XDR (1320 x 2868 Pixels),"6.9"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3000 nits,Kính cường lực Ceramic Shield 2,37 giờ,Li-Ion,40 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,iBeacon,v6.0,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm nguyên khối & Mặt lưng kính cường lực,Dài 163.4 mm - Ngang 78 mm - Dày 8.75 mm - Nặng 231 g,09/2025,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"iPhone 17 Pro Max (256GB, 512GB, 1TB, 2TB) giá tốt, có màu cam vũ trụ, xanh đậm, thu cũ giảm đến 3tr, giảm đến 5tr khi thanh toán qua Kredivo, trả chậm 0%. Mua ngay!",['iPhone (Apple)'],342679,342679,37990000.0,VND,,MP3,,,
Điện thoại iPhone 17 Pro 256GB,34.790.000₫,https://www.thegioididong.com/dtdd/iphone-17-pro,iOS 26,Apple A19 Pro 6 nhân,Hãng không công bố,Apple GPU 6 nhân,Hãng không công bố,256 GB,241 GB,Không giới hạn,"Chính 48 MP & Phụ 48 MP, 48 MP",HD 720p@30fps,Có,Ảnh Raw,18 MP,Smart HDR 5,OLED,Super Retina XDR (1206 x 2622 Pixels),"6.3"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3000 nits,Kính cường lực Ceramic Shield 2,31 giờ,Li-Ion,40 W,Tiết kiệm pin,Mở khoá khuôn mặt Face ID,Âm thanh Dolby Atmos,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,Wi-Fi MIMO,iBeacon,v6.0,Type-C,Type-C,NFC,Nguyên khối,Khung nhôm nguyên khối & Mặt lưng kính cường lực,Dài 150 mm - Ngang 71.9 mm - Dày 8.75 mm - Nặng 204 g,09/2025,iPhone (Apple). <span class='parameter__manu'>Xem thông tin hãng</span>,"iPhone 17 Pro 256GB giá tốt, chip A19 Pro mạnh mẽ, có màu cam vũ trụ, thu cũ trợ giá đến 3tr, trả chậm 0% lãi suất, BH 1 năm, hư gì đổi nấy 12 tháng. Mua ngay!",['iPhone (Apple)'],342676,342676,34790000.0,VND,,MP3,,,
Điện thoại Samsung Galaxy S26+ 5G 12GB/256GB,26.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-plus-12gb-256gb,Đang cập nhật,Exynos 2600,Đang cập nhật,Đang cập nhật,12 GB,256 GB,Đang cập nhật,Đang cập nhật,"Chính 50 MP & Phụ 12 MP, 10 MP",Đang cập nhật,Có,Tự động lấy nét (AF),12 MP,Tự động lấy nét (AF),Dynamic AMOLED 2X,2K+ (1440 x 3120 Pixels),"6.7"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Victus 2,4900 mAh,Đang cập nhật,45 W,Sạc ngược không dây,Mở khoá vân tay dưới màn hình,Khoanh tròn để tìm kiếm,IP68,Ghi âm mặc định,Đang cập nhật,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Có,Có,Có,Type-C,Type-C,NFC,Nguyên khối,Khung Armor Aluminum & Mặt lưng kính cường lực Gorilla Victus 2,Dài 158.4 mm - Ngang 75.8 mm - Dày 7.3 mm - Nặng 190 g,02/2026,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S26+ (Plus) 12GB/256GB giá tốt, bảo hành 1 đổi 1 12 tháng khi lỗi do NSX, trả chậm 0% lãi suất, giảm đến 4.5tr, thu cũ giảm đến 5tr. Đặt ngay đến 5/3!",['Samsung'],361949,361949,26990000.0,VND,,,,,
Điện thoại Samsung Galaxy S26 5G 12GB/256GB,22.990.000₫,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-12gb-256gb,Đang cập nhật,Exynos 2600,Đang cập nhật,Đang cập nhật,12 GB,256 GB,Đang cập nhật,Đang cập nhật,"Chính 50 MP & Phụ 12 MP, 10 MP",Đang cập nhật,Có,Tự động lấy nét (AF),12 MP,Tự động lấy nét (AF),Dynamic AMOLED 2X,Full HD+ (1080 x 2340 Pixels),"6.3"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",2600 nits,Kính cường lực Corning Gorilla Glass Victus 2,4300 mAh,Đang cập nhật,25 W,Sạc ngược không dây,Mở khoá vân tay dưới màn hình,Khoanh tròn để tìm kiếm,IP68,Ghi âm mặc định,Đang cập nhật,Hỗ trợ 5G,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Có,Có,Có,Type-C,Type-C,NFC,Nguyên khối,Khung Armor Aluminum & Mặt lưng kính cường lực Gorilla Victus 2,Dài 149.6 mm - Ngang 71.7 mm - Dày 7.2 mm - Nặng 167 g,02/2026,Samsung. <span class='parameter__manu'>Xem thông tin hãng</span>,"Samsung Galaxy S26 12GB/256GB giá tốt, giảm đến 4.5tr, bảo hành 1 đổi 1 12 tháng khi lỗi do nhà sản xuất, bảo hiểm rơi vỡ 6 tháng, thu cũ giảm đến 5tr. Đặt ngay đến 5/3!",['Samsung'],361947,361947,22990000.0,VND,,,,,
Điện thoại Xiaomi 17 Ultra 5G 16GB/512GB,36.990.000₫,https://www.thegioididong.com/dtdd/xiaomi-17-ultra,Android 16,Qualcomm Snapdragon 8 Elite Gen 5 8 nhân,2 nhân 4.6 GHz & 6 nhân 3.62 GHz,Adreno 840,16 GB,512 GB,490 GB,Không giới hạn,"Chính 200 MP & Phụ 50 MP, 50 MP",HD 720p@30fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Xóa phông,LTPO AMOLED,1.5K (1220 x 2608 Pixels),"6.9"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",3500 nits,Kính cường lực Xiaomi Shield 3.0,6000 mAh,Silicon-Carbon,90 W,Sạc không dây,Mở khoá vân tay dưới màn hình,Chạm 2 lần sáng màn hình,IP68,Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM,Wi-Fi 7,GPS,v6.0,Type-C,,OTG,Nguyên khối,Khung kim loại & Mặt lưng sợi thuỷ tinh,Dài 162.9 mm - Ngang 77.6 mm - Dày 8.29 mm - Nặng 218.4g (Đen và Trắng) | 219g (Xanh),02/2026,Xiaomi. <span class='parameter__manu'>Xem thông tin hãng</span>,"Xiaomi 17 Ultra 5G 12GB/512GB giá tốt, giảm ngay đến 8 triệu, 1 đổi 1 trong 2 năm, thu cũ giảm đến 5 triệu, bảo hành 2 năm tiêu chuẩn, trả chậm 0% lãi suất. Mua ngay!",['Xiaomi'],361270,361270,36990000.0,VND,100 W,OGG,Có,,
Điện thoại OPPO Reno15 5G 8GB/256GB,15.990.000₫,https://www.thegioididong.com/dtdd/oppo-reno15-5g-8gb-256gb,ColorOS 16 (Android 16),Snapdragon 7 Gen 4 8 nhân,2.8 GHz,Adreno 722,8 GB,256 GB,221 GB,Không giới hạn,"Chính 50 MP & Phụ 50 MP, 8 MP",HD 720p@240fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Toàn cảnh (Panorama),AMOLED,1.5K (1256 x 2760 Pixels),"6.59"" - Tần số quét <a href='https://www.thegioididong.com/hoi-dap/tan-so-quet-man-hinh-may-tinh-la-gi-1292309#subhmenuid2' target='_blank'>120 Hz</a>",1200 nits,Kính cường lực Corning Gorilla Glass 7i,6500 mAh,Li-Po,80 W,Sạc siêu nhanh SuperVOOC,Mở khoá vân tay dưới màn hình,Ứng dụng kép (Nhân bản ứng dụng),"IP66, IP68, IP69",Ghi âm mặc định,MP4,Hỗ trợ 5G,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,Wi-Fi 6,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung hợp kim nhôm & Mặt lưng kính,Dài 158 mm - Ngang 74.83 mm - Dày 7.89 mm (Trắng) | 7.77 mm (Xanh) - Nặng 197 g,01/2026,OPPO. <span class='parameter__manu'>Xem thông tin hãng</span>,"OPPO Reno15 5G 8GB/256GB giá tốt, nhận bộ quà đến 4tr, tặng loa Innoyo S2, bảo hành 24 tháng, miễn phí 5G Viettel tốc độ cao 30GB/30 ngày. Mua ngay đến 31/01!",['OPPO'],360238,360238,15990000.0,VND,80 W,OGG,,,
Điện thoại vivo Y21d 6GB/128GB,6.090.000₫,https://www.thegioididong.com/dtdd/vivo-y21d-6gb-128gb,Android 15,Unisoc T7225 8 nhân,2 nhân 1.8 GHz & 6 nhân 1.8 GHz,Mali-G57,6 GB,128 GB,99.91 GB,Không giới hạn,Chính 50 MP & Phụ 0.08 MP,HD 720p@30fps,Có,Trôi nhanh thời gian (Time Lapse),5 MP,Live Photos,LCD,HD+ (720 x 1608 Pixels),"6.68 "" - Tần số quét 90 Hz",1000 nits,Kính cường lực AGC DT-Star2 Plus,6500 mAh,Li-Ion,44 W,Tiết kiệm pin,Mở khoá vân tay cạnh viền,Chụp hình dưới nước,"IP68, IP69, IP69+",Ghi âm mặc định,WEBM,Hỗ trợ 4G,2 Nano SIM,Dual-band (2.4 GHz/5 GHz),QZSS,v5.2,Type-C,Type-C,OTG,Nguyên khối,Khung kim loại & Mặt lưng Polymer,Dài 166.14 mm - Ngang 77.01 mm - Dày 8.39 mm - Nặng 209 g,11/2025,vivo. <span class='parameter__manu'>Xem thông tin hãng</span>,"vivo Y21d 6GB/128GB giá tốt, tặng loa Rezo Light K238 hoặc phiếu mua hàng 300K, bảo hành rơi nước 6 tháng, bảo hành 18 tháng, trả chậm 0% lãi suất. Mua ngay đến 30/12!",['vivo'],358669,358669,6290000.0,VND,44 W,WAV,,"MicroSD, hỗ trợ tối đa 2 TB",
Điện thoại realme 16 Pro 5G 12GB/256GB,14.090.000₫,https://www.thegioididong.com/dtdd/realme-16-pro-5g-12gb-256gb,Android 16,MediaTek Dimensity 7300 Max 8 nhân,4 nhân 2.5 GHz & 4 nhân 2.0 GHz,Mali-G615,12 GB,256 GB,230 GB,Không giới hạn,Chính 200MP & Phụ 8 MP,FullHD 1080p@60fps,Có,Trôi nhanh thời gian (Time Lapse),50 MP,Xóa phông,AMOLED,1.5K (1272 x 2772 Pixels),"6.78"" - Tần số quét 144 Hz",6500 nits,Kính cường lực AGC DT-Star D+,7000 mAh,Li-Ion,80 W,Tiết kiệm pin,Mở khoá vân tay dưới màn hình,Tóm tắt bản ghi âm AI,"IP66, IP68, IP69, IP69K",Ghi âm mặc định,WEBM,Hỗ trợ 5G,2 Nano SIM,Wi-Fi Display,QZSS,v5.4,Type-C,Type-C,OTG,Nguyên khối,Khung nhựa & Mặt lưng nhựa Composite,Dài 162.6 mm - Ngang 77.6 mm - Dày 7.75 mm - Nặng 193 g,02/2026,realme. <span class='parameter__manu'>Xem thông tin hãng</span>,"Mua realme 16 Pro 5G 12GB/256GB giá tốt, tặng tai nghe realme Techlife Buds hoặc giảm 400K, trả chậm 0% - trả trước 0đ, thu cũ giảm đến 2 triệu. Mua ngay đến 28/2!",['realme'],361707,361707,14490000.0,VND,80 W,WMA,,,
