name,Antutu_Score
oneplus 15t,4455423
honor magic 8,4430255
zte nubia red magic 11 proplus,4372440
vivo iqoo 15,4314224
oppo find x9,4310538
honor magic 8,4288382
zte nubia red magic 11,4246750
realme gt 8,4193319
vivo x300,4152385
xiaomi redmi k90 promax,4119955
honor magic 8,4012279
xiaomi 17 promax,3998145
oneplus 15,3948526
vivo iqoo 15,3932243
samsung galaxy s26,3871127
xiaomi poco f8,3862914
honor win,3861611
zte nubia z80,3790413
samsung galaxy s26,3725658
vivo x300s,3703823
xiaomi 17,3667711
vivo x300,3592313
xiaomi 17,3554073
xiaomi 17,3528367
oppo find x9,3508681
honor win rt,3475149
oneplus ace 6,3429868
oppo find x9,3400423
vivo s50 mini,3397243
motorola razr 2026,3379591
oppo find x9s,3340196
realme gt 8,3336910
honor 600,3293922
asus rog 9,3290813
zte nubia red magic 10,3289721
oneplus ace 6,3280149
realme neo 8,3258199
asus zenfone 12,3247013
honor gt,3237139
honor 500,3233535
zte nubia z70s,3228937
vivo iqoo neo 11,3225721
zte nubia red magic 11,3206893
vivo x300,3198836
samsung galaxy s25,3194654
oppo find x8,3183101
vivo iqoo neo 10 proplus,3176093
oneplus 13t,3169203
xiaomi redmi turbo 5,3158192
samsung galaxy s26,3145925
motorola signature,3137101
oppo find x9s,3132001
zte nubia z70,3126402
oppo k15 proplus,3121723
xiaomi poco f8,3119308
motorola razr 60,3113462
realme gt 7,3108286
oppo find x8s,3107273
oneplus ace 5,3105769
xiaomi redmi k90,3104711
oneplus 13,3102564
vivo iqoo 13,3101793
oneplus 15r,3101475
vivo iqoo 15r,3100220
samsung galaxy s25,3092382
samsung galaxy s25 edge,3091117
samsung galaxy z fold 7,3065623
xiaomi poco f7,3060993
vivo iqoo z11 turbo,3057215
xiaomi 15,3055765
sony xperia 1 7,3052051
oneplus 13s,3037734
xiaomi poco x8 promax,3037573
vivo x200,3033519
xiaomi 15,3030376
asus rog 9,3026124
honor magic 7,3020398
oneplus ace 6t,3016213
oppo find x8s,3001855
xiaomi 15,3001049
xiaomi 15s,2998904
samsung galaxy s26,2993702
xiaomi redmi k80,2978441
honor magic 7,2967184
oppo find x8,2938544
vivo iqoo z10 turbo,2935618
oppo find x8,2929734
samsung galaxy z trifold,2926532
xiaomi redmi k80,2921404
samsung galaxy s25,2920032
samsung galaxy s26,2917441
oneplus ace 5,2914848
zte nubia red magic 10 proplus,2909205
vivo x300,2869139
realme gt 7,2835794
vivo x200s,2830117
vivo x200,2825187
xiaomi redmi turbo 5,2809170
xiaomi 15t,2777735
vivo x200,2727422
vivo iqoo neo 10,2727275
vivo x200t,2725989
vivo x200 mini,2703635
honor magic v5,2663720
zte nubia red magic 9 proplus,2647478
vivo iqoo z11,2612264
oppo find n5,2579888
oneplus ace 5,2559879
zte nubia red magic 9s,2554897
realme neo 7,2550332
zte nubia z60,2527231
asus rog 9,2514224
honor 300,2508188
xiaomi redmi k70,2486114
asus rog 8,2485113
realme gt 7,2474831
asus rog 8,2464181
realme neo 7 turbo,2463286
meizu 22,2454886
vivo x100,2450986
vivo iqoo neo 9s,2439634
vivo iqoo 12,2433337
vivo x100s,2432004
zte nubia red magic 9,2431047
zte nubia red magic 9s proplus,2426572
honor 300,2423624
samsung galaxy z flip 7,2420011
vivo x100,2415558
zte nubia red magic 10,2407888
motorola edge 70,2407614
honor power 2,2407614
oppo k13 turbo,2404308
realme gt5,2402979
oppo find x7,2402592
vivo iqoo z9 turbo,2401319
xiaomi 14,2397671
oneplus 12,2396228
vivo iqoo neo 10,2391065
vivo iqoo z10 turbo,2388540
honor magic v3,2388314
vivo iqoo neo 9,2386903
xiaomi redmi k70,2384849
oneplus turbo 6,2382990
oneplus 13r,2381948
honor magic 6,2380839
honor magic 6,2379245
xiaomi civi 5,2375195
xiaomi 14,2369196
oneplus nord 6,2366913
honor gt,2348856
samsung galaxy z fold 6,2347721
honor magic 6,2345589
xiaomi 14,2345207
vivo iqoo neo 10,2344721
honor 500,2344395
vivo iqoo neo 9s proplus,2342433
vivo iqoo 12,2332791
samsung galaxy s24,2330224
oppo find x7,2324032
vivo s30 mini,2316832
nothing 3,2306162
vivo x100,2294102
samsung galaxy s24,2292685
xiaomi redmi k80,2288566
oneplus ace 3,2287429
vivo t4,2286808
xiaomi redmi turbo 4,2284425
xiaomi 14t,2283895
xiaomi poco f7,2281773
xiaomi poco f7,2255304
oppo k15,2254164
vivo 10 fold3,2251381
vivo x100s,2233931
honor 400,2229821
samsung galaxy s24,2229474
oneplus ace 5,2197426
samsung galaxy z fold,2165173
xiaomi poco x8,2153969
samsung galaxy z flip 6,2127218
asus zenfone 11,2116482
huawei mate 80 promax wind,2116240
huawei pura 10,2107301
huawei mate 80 promax,2101808
sony xperia 1 6,2096581
huawei mate 80,2084779
realme neo 7,2081324
realme gt 7t,2079848
vivo y300 gt,2067824
samsung galaxy s25,2063253
vivo iqoo z10 turbo,2052566
oppo reno 15,2050891
oppo reno 14,2048465
infinix gt 50,2047426
samsung galaxy s24,2016744
xiaomi mix fold 4,1991672
oppo k13 turbo,1990099
infinix note 60,1989585
samsung galaxy s24,1980819
samsung galaxy s24,1971406
xiaomi redmi turbo 4,1942487
oppo reno 15 mini,1927314
xiaomi poco x7,1925109
vivo iqoo neo 8,1920379
vivo v40,1914147
vivo t3,1913837
oneplus ace 2,1908978
oneplus ace 3,1907512
oppo find x6,1904332
realme gt neo 6,1901911
asus rog 7,1899814
xiaomi 15t,1883699
vivo x90 proplus,1869058
oneplus nord 5,1849271
motorola razr 2026,1846775
oneplus 12r,1844595
zte nubia z50,1842269
samsung galaxy z flip 7,1841283
vivo iqoo z9 turbo endurance,1829106
asus rog 7,1828576
zte nubia red magic 8,1825719
vivo iqoo neo 9,1816571
xiaomi redmi turbo 3,1811065
vivo iqoo z9 turbo,1809455
vivo v70 elite,1808954
vivo x200,1807953
realme gt 6,1807243
xiaomi 14 civi,1805916
motorola edge 50,1804526
infinix note 50 proplus,1801494
xiaomi 13,1796720
vivo s50,1794400
motorola razr,1794400
vivo iqoo neo 10r,1787675
samsung galaxy z fold 5,1787267
xiaomi 13t,1782041
samsung galaxy z flip 5,1781616
vivo x90,1781240
motorola edge,1779624
motorola edge 40,1778080
tecno pova 7,1771444
honor 100,1769874
xiaomi poco f6,1767878
xiaomi poco f6,1766745
sony xperia 1 5,1761879
samsung galaxy s23,1760868
oppo find x6,1755232
xiaomi redmi k70,1747279
oneplus 11,1745155
samsung galaxy s23,1744323
xiaomi 13,1738631
honor magic v2,1738135
infinix gt 30,1737884
oppo reno 13,1727874
oppo reno 14,1727118
zte nubia red magic 8s,1720028
samsung galaxy s23,1718225
huawei nova 15,1717959
oneplus nord ce5,1717334
motorola edge 60,1712750
xiaomi redmi k60,1710757
oneplus open,1704161
huawei nova 15,1702470
