Chipset,Antutu_11,Clock,GPU
Snapdragon 8 Elite Gen 5,3932243,4610 MHz,Adreno 840
A19 Pro,2606807,4260 MHz,Apple A19 Pro GPU
Dimensity 9500,3508681,4210 MHz,Mali-G1 Ultra MP12
Exynos 2600,3145925,3800 MHz,Samsung Xclipse 960
Snapdragon 8 Elite (Gen 4),3336910,4320 MHz,Adreno 830
Apple A19,2239708,4260 MHz,Apple A19 GPU
Dimensity 9500s,3041307,3730 MHz,Mali-G925  MP12
Dimensity 9400 Plus,2874956,3730 MHz,Mali-G925  MP12
Dimensity 9400,2825187,3620 MHz,Mali-G925  MP12
Snapdragon 8 Gen 5,3082388,3800 MHz,Adreno 829
Xring O1,2998904,3900 MHz,Mali-G925  MP16
Apple A18,1918031,4050 MHz,Apple A18 GPU
Exynos 2500,2420011,3300 MHz,Samsung Xclipse 950
A18 Pro,1808835,4050 MHz,Apple A18 Pro GPU
Dimensity 9300,2415558,3250 MHz,Mali-G720  MP12
Dimensity 9400e,2474831,3400 MHz,Mali-G720  MP12
Dimensity 9300 Plus,2347116,3400 MHz,Mali-G720  MP12
Snapdragon 8 Gen 3,2341391,3300 MHz,Adreno 750
A17 Pro,1503813,3780 MHz,Apple A17 GPU
Snapdragon 8s Gen 4,2301396,3210 MHz,Adreno 825
A16 Bionic,1633145,3460 MHz,Apple A16 GPU
Exynos 2400,2037320,3210 MHz,Samsung Xclipse 940
Exynos 2400e,1971406,3110 MHz,Samsung Xclipse 940
Dimensity 8500,2153969,3400 MHz,Mali-G720 MP8
Dimensity 8450,2016572,3250 MHz,Mali-G720 MP7
A15 Bionic,1413275,3230 MHz,Apple A15 GPU
Dimensity 8400,1934134,3250 MHz,Mali-G720 MP7
Dimensity 9200 Plus,1798756,3350 MHz,Mali-G715  MP11
Snapdragon 8 Gen 2,1752044,3200 MHz,Adreno 740
Dimensity 9200,1755232,3050 MHz,Mali-G715  MP11
Snapdragon 8s Gen 3,1795718,3000 MHz,Adreno 735
Snapdragon 7 Plus Gen 3,1647728,2800 MHz,Adreno 732
A14 Bionic,1337390,3100 MHz,Apple A14 GPU
Kirin 9030 Pro,2101808,2750 MHz,Maleoon 935
Dimensity 8350,1718082,3350 MHz,Mali-G615 MP6
Tensor G5,1467600,3780 MHz,PowerVR DXT-48-1536
Tensor G4,1499601,3100 MHz,Mali-G715 MP7
Dimensity 9000 Plus,1453683,3200 MHz,Mali-G710 MP10
Dimensity 8300,1609292,3350 MHz,Mali-G615 MP6
Snapdragon 8 Plus Gen 1,1411891,3200 MHz,Adreno 730
Tensor G3,1414384,2910 MHz,Mali-G715 MP7
Exynos 2200,1470636,2800 MHz,Samsung Xclipse 920
Dimensity 9000,1409448,3050 MHz,Mali-G710 MP10
A13 Bionic,1091336,2650 MHz,Apple A13 GPU
Exynos 1680,1390055,2900 MHz,Samsung Xclipse 550
Snapdragon 8 Gen 1,1294632,3000 MHz,Adreno 730
Snapdragon 7 Plus Gen 2,1285461,2910 MHz,Adreno 725
Snapdragon 888 Plus,1208784,2995 MHz,Adreno 660
Kirin 9030S,1607132,3000 MHz,Maleoon 935F
Exynos 1580,1243000,2900 MHz,Samsung Xclipse 540
Snapdragon 7 Gen 4,1261959,2800 MHz,Adreno 722
Dimensity 8200,1206715,3100 MHz,Mali-G610 MP6
Tensor G2,1158921,2850 MHz,Mali-G710 MP7
Kirin 9020,1383793,2500 MHz,Maleoon 920
Google Tensor,1019946,2800 MHz,Mali-G78 MP20
Snapdragon 888,1118041,2840 MHz,Adreno 660
Kirin 9000,1079281,3130 MHz,Mali-G78 MP24
Kirin 9010,1155792,2300 MHz,Maleoon 910
Dimensity 8100,1085324,2850 MHz,Mali-G610 MP6
Exynos 2100,1042710,2900 MHz,Mali-G78 MP14
A12 Bionic,895627,2490 MHz,Apple A12 GPU
Snapdragon 7s Gen 4,986597,2700 MHz,Adreno 810
Dimensity 8000,1080933,2750 MHz,-
Snapdragon 870,1005598,3200 MHz,Adreno 650
Snapdragon 6 Gen 5,1073789,2600 MHz,-
Snapdragon 7s Gen 3,1038717,2500 MHz,Adreno 810
Snapdragon 7 Gen 3,1020938,2630 MHz,Adreno 720
Snapdragon 865 Plus,909414,3100 MHz,Adreno 650
Kirin 8020,1021894,2285 MHz,Maleoon 920
Dimensity 7350,1037391,3000 MHz,-
Exynos 1480,997728,2750 MHz,Samsung Xclipse 530
