Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
iPhone 17 Pro 256GB | Chính hãng,34.590.000đ,https://cellphones.com.vn/iphone-17-pro.html,6.3 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,
OPPO Find X9s 12GB 256GB,23.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9s.html,6.59 inches,AMOLED,Góc siêu rộng: 50MP; Góc rộng: 50MP; Telephoto: 50MP,32MP,MediaTek Dimensity 9500s,Có,256 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,1256 x 2760 pixels,"Tần số lấy mẫu cảm ứng 240Hz, 1.07 tỷ màu (10 bits), 100% DCI-P3, 460 PPI, Độ sáng tối đa 1800nits (HBM), Kính bảo vệ Corning® Gorilla® Glass 7i",8 nhân,12 GB,7025 mAh,,
iPhone 17 Pro Max 256GB | Chính hãng,36.990.000đ,https://cellphones.com.vn/iphone-17-pro-max.html,6.9 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2868 x 1320 pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,Tương thích với thiết bị trợ thính,
Samsung Galaxy S26 Ultra 12GB 256GB,30.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html,6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP,12MP,Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm),Có,256 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,12 GB,5000 mAh,,
Samsung Galaxy S26 12GB 256GB,20.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26.html,6.3 inches,Dynamic AMOLED 2X,Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP,12MP,Exynos 2600 (2nm),Có,256 GB,2 Nano-SIM + eSIM,,2340 x 1080-pixel,Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,12 GB,4300 mAh,,
Samsung Galaxy S25 Ultra 12GB 256GB,25.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html,6.9 inches,Dynamic AMOLED 2X,"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""",12 MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,256 GB,2 Nano-SIM + eSIM,Android 15,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,,12 GB,5000 mAh,,
iPhone 17 256GB | Chính hãng,24.390.000đ,https://cellphones.com.vn/iphone-17-256gb.html,6.3 inches,Super Retina XDR OLED,48MP Fusion Main f/1.6 OIS12MP Tele 2x f/1.6 OIS48MP Ultra Wide f/2.2 120°,"18MP Center Stage, f/1.9, PDAF",Apple A19,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),,Xem video: 30 giờXem video trực tuyến: 27 giờ,,
Điện thoại Itel P55 Plus NFC 8GB 256GB,3.190.000đ,https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html,6.6 inches,,Camera góc rộng: 50 MP,8 MP,Unisoc T606,Có,256 GB,,Android 13,,Tần số quét 90Hz,Octa-core Processor,8 GB,5000mAh,,
OPPO Reno15 F 5G 8GB 256GB,11.490.000đ,https://cellphones.com.vn/dien-thoai-oppo-reno15-f.html,6.57 inches,AMOLED,"Chính 50MP f/1.8 (OIS, AF) + Góc siêu rộng 8MP f/2.2 + Macro 2MP f/2.4","50MP f/2.0, hỗ trợ AF",Qualcomm Snapdragon 6 Gen 1 5G,Có,256 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),ColorOS 16.0,1080 x 2372 pixels (FullHD+),"1.07 tỷ màu (10-bit), DCI-P3 100%, Độ sáng tối đa 1400 nits",8 nhân,8 GB,7000mAh,,
iPhone 15 128GB | Chính hãng VN/A,17.890.000đ,https://cellphones.com.vn/iphone-15.html,6.1 inches,Super Retina XDR OLED,Chính 48 MP & Phụ 12 MP,"12MP, ƒ/1.9",Apple A16 Bionic 6 nhân,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 17,2556 x 1179 pixels,Dynamic Island HDR display True Tone Wide color (P3) Haptic TouchLớp phủ oleophobia chống dấu vân tayĐộ sáng tối đa: 2000 nitsMặt kính cảm ứng: Kính cường lực Ceramic ShieldTần số quét 60 Hz,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,6 GB,3349 mAh,,
