Unnamed: 0,name,price
0,Samsung Galaxy S26 Ultra,29.490.000đ
1,Samsung Galaxy A57,11.260.000đ
2,Nubia Neo 5 GT,8.990.000đ
3,Xiaomi Redmi Note 14 Pro Plus,7.990.000đ
4,HONOR 400 Pro,15.490.000đ
5,Xiaomi POCO F8 Pro,13.990.000đ
6,Nothing Phone 2A Plus,7.990.000đ
7,Nubia Neo 5 GT,9.990.000đ
8,Samsung Galaxy A37,9.990.000đ
9,Xiaomi 15,19.290.000đ
10,Samsung Galaxy S25 Plus,20.690.000đ
11,Xiaomi 15 Ultra,28.490.000đ
12,Tecno Pova 7,4.490.000đ
13,POCO X8 Pro Max,15.290.000đ
14,TECNO Spark Go 3,3.390.000đ
15,HONOR X6c,4.040.000đ
16,HONOR 400,12.990.000đ
17,OPPO Find X9s,24.990.000đ
18,iPhone 17 Pro,34.590.000đ
19,iPhone 17 Pro Max,36.990.000đ
20,Samsung Galaxy S26 Ultra,29.490.000đ
21,iPhone 17,24.390.000đ
22,Samsung Galaxy S25 Ultra,25.990.000đ
23,Samsung Galaxy S26,20.490.000đ
24,OPPO Reno15 F,11.490.000đ
25,Itel P55 Plus,2.990.000đ
26,Xiaomi 17 Ultra,31.470.000đ
27,Samsung Galaxy Z Flip7,22.990.000đ
28,iPhone Air,22.890.000đ
29,iPhone 15,17.890.000đ
30,Nubia Neo 5,6.990.000đ
31,Samsung Galaxy A57,11.260.000đ
32,iPhone 16 Pro Max,30.990.000đ
33,Samsung Galaxy A17,5.590.000đ
34,iPhone 17e,17.490.000đ
35,Nubia Neo 5 GT,8.990.000đ
36,Xiaomi Redmi Note 14 Pro Plus,7.990.000đ
37,Samsung Galaxy A07,3.190.000đ
38,iPhone 16 Pro Max,37.990.000đ
39,HONOR X9d,10.490.000đ
40,Meizu Mblu Note 21 Pro,3.990.000đ
41,OPPO Find N6,63.990.000đ
42,Samsung Galaxy Z Fold7,40.990.000đ
43,Xiaomi Redmi Note 15,5.390.000đ
44,OPPO Reno15,16.490.000đ
45,Samsung Galaxy A56,9.190.000đ
46,HONOR X7d,6.190.000đ
47,Nubia V80 Design,3.990.000đ
48,OPPO Find X9 Ultra,49.990.000đ
49,iPhone 17 Pro Max,43.790.000đ
50,iPhone 16 Pro,24.490.000đ
51,Xiaomi 15T,12.990.000đ
52,POCO X8 Pro Max,14.290.000đ
53,HONOR 400 Pro,15.490.000đ
54,iPhone 16,20.590.000đ
55,TECNO CAMON 40,4.990.000đ
56,ZTE Nubia Z60S Pro,10.990.000đ
57,Xiaomi POCO X7 Pro,8.790.000đ
58,iPhone 14 Pro Max,25.590.000đ
59,iPhone 14,13.990.000đ
60,Nubia V80 Max,3.890.000đ
61,iPhone 16e,12.990.000đ
62,iPhone 13,11.990.000đ
63,iPhone 15,20.790.000đ
64,Samsung Galaxy S25 FE,12.560.000đ
65,Nubia Neo 3,4.790.000đ
66,iPhone 16 Pro,27.990.000đ
67,Nubia Neo 3 GT,7.490.000đ
68,Meizu Mblu 22 Pro,2.990.000đ
69,Samsung Galaxy A26,6.690.000đ
70,Samsung Galaxy S24 Plus,16.090.000đ
71,iPhone 17 Pro Max,50.090.000đ
72,OPPO Find X8,19.490.000đ
73,iPhone 17 Pro,40.990.000đ
74,Xiaomi Redmi Note 14,6.490.000đ
75,Xiaomi Redmi Note 14,4.390.000đ
76,iPhone 17 Pro Max,61.990.000đ
77,OPPO Reno10 Pro,10.490.000đ
78,Xiaomi POCO F8 Pro,13.990.000đ
79,Nubia Z70S Ultra,19.990.000đ
80,Xiaomi Redmi Note 15 Pro,9.590.000đ
81,iPhone 17,30.590.000đ
