,name,price,link,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành,Kích thước,Trọng lượng sản phẩm,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Tần số quét,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Danh bạ lưu trữ,Thẻ nhớ ngoài,Hỗ trợ thẻ nhớ tối đa,Camera 1,Resolution,Resolution camera 1,Cảm biến,Bảo mật,Tính năng đặc biệt,Số khe SIM,Thẻ SIM,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Loại PIN,Dung lượng pin,Củ sạc kèm máy,OS,Version,Phụ kiện trong hộp,Chuẩn kháng nước / Bụi bẩn,Tỷ lệ diện tích sử dụng màn hình,CPU,Mật độ điểm ảnh,Bộ nhớ còn lại,Quay phim camera sau,Tính năng,Quay phim camera selfie,Loại RAM,Chất liệu mặt kính,Độ phủ màu,Độ tương phản,Số camera sau,Aperture,Camera 2,Số Camera Selfie,Thông tin thêm,Màu màn hình,Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước màn hình phụ,Camera 3,Resolution camera 2,Tỷ lệ màn hình,Pixel size,Thông báo LED,Camera 4,Độ sáng tối đa,Khẩu độ,Camera Selfie 1,Quay phim camera seflie,Resolution camera 3,Sensor,Làm mát,Pixel Size
0,Nubia A76 4GB 128GB (NFC),2.490.000đ,/dien-thoai/nubia-a76,Trung Quốc,05/2025,18 tháng,167.3 x 77.37 x 8.3 mm,197 g,Khung viền: NhựaMặt lưng máy: Nhựa,Unisoc T7250,Octa-Core,8,1.8 GHz,4 GB,6.75 inch,IPS LCD,HD+,720 x 1600 Pixels,90 Hz,Điện dung đa điểm,500 nits,ARM Mali G57,128 GB,Không giới hạn,MicroSD,1 TB,Standard,0.08 MP,8.0 MP,Cảm biến la bànCảm biến gia tốcCảm biến tiệm cậnCảm biến ánh sáng,Mật khẩuMở khóa khuôn mặtMở khóa vân tay,Live Island,2,2 Nano SIM,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,GPSA-GPSGALILEOGLONASS,v5.2,NFC,Lithium polymer,5000 mAh,Sạc nhanh 22.5 W,Android,Android 15,SạcDây cáp sạcỐp lưngQue lấy SIMSách HDSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tecno Spark 40C 8GB 256GB,3.190.000đ,/dien-thoai/tecno-spark-40c,Trung Quốc,09/2025,13 tháng,165.66 x 77 x 8.25 mm,193 g,Khung máy: NhựaMặt lưng máy: Nhựa,MediaTek Helio G81,Octa-Core,8,8 GHz,8 GB,6.67 inch,LCD,HD+,720 x 1600 Pixels,120 Hz,Điện dung đa điểm,700 nits,Mali-G52,256 GB,,MicroSD,1 TB,,13.0 MP,8.0 MP,Cảm biến gia tốcCảm biến tiệm cậnCảm biến ánh sángCảm biến la bàn,Mở khoá vân tay cạnh viền,,2,2 Nano SIM,4G,Cổng sạc: Type C,802.11 a/b/g/n/ac,,v5.3,OTGNFC,Lithium polymer,6000 mAh,Sạc nhanh 18 W,Android,Android 15,Dây cáp sạcCủ sạcỐp lưng,IP64,84%,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,264 ppi,Khoảng 235GB,1080p@30fps,HDRLàm đẹp (Beautify)Hiệu ứng Bokeh,1080p@30fps,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Xiaomi Poco M7 Pro 5G 8GB 256GB,5.990.000đ,/dien-thoai/xiaomi-poco-m7-pro,Trung Quốc,04/2025,18 tháng,162.4 x 75.7 x 7.99 mm,190 g,Khung máy: NhựaMặt lưng máy: Nhựa cao cấp,MediaTek Dimensity 7025-Ultra,Octa-Core,8,2.5 GHz,8 GB,6.67 inch,AMOLED,FHD+,1080 x 2400 Pixels,120 Hz,,2100 nits,IMG BXM-8-256,256 GB,,MicroSD,1 TB,Wide,2.0 MP,20.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến la bànCon quay hồi chuyển,Mở khóa vân tay dưới màn hìnhMở khóa khuôn mặt,Google GeminiXóa AIAI SkyLàm đẹp AI,2,2 Nano SIM,5G,Cổng sạc: Type C,,GPSGLONASSGALILEOBDS,v5.3,NFCOTG,Lithium polymer,5110 mAh,Sạc nhanh 45 W,Android,Android 14 (Hyper OS),SạcCáp USB Type CQue lấy SIMỐp lưngSách HDSD,IP64,,,,,1080p@30fps720p@30fps,HDRToàn cảnh,1080p@30/60fps720p@30fps,LPDDR4X,Gorilla Glass 5,100% DCI-P3,5.000.000 : 1,Double rear camera,ƒ/2.2,Depth,Single selfie camera,Sạc pin nhanh,,,,,,,,,,,,,,,,,,
3,Honor X9d 5G 8GB 256GB,10.190.000đ,/dien-thoai/honor-x9d,Trung Quốc,12/2025,24 tháng,161.9 x 76.1 x 7.76 mm,193 g,Khung máy: Nhựa,Snapdragon 6 Gen 4,Octa-Core,8,,8 GB,6.79 inch,AMOLED,AMOLED,1200 x 2640 pixels,120,Điện dung đa điểm,6000 nits,Adreno 810,256 GB,,,,Wide,5.0 MP,16.0 MP,Cảm biến tiệm cậnHai cảm biến ánh sáng môi trường xung quanhCảm biến gia tốcCảm biến la bànCon quay hồi chuyểnCảm biến trọng lực,Mở khóa vân tay,,2,2 Nano SIM,5G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/ac802.11 ax,GALILEOGLONASSBEIDOUA-GPSGPS,v5.2,NFCOTG,Silicon carbon,8300 mAh,Sạc nhanh 66W,Android,Android 15 (MagicOS 9),Ốp lưngCủ sạcDây cáp sạc,IP69K,91%,1 x Cortex A720 2.3 GHz + 3 x Cortex A720 2.2 GHz + 4 x Cortex A520 1.8 GHz,425 ppi,,4K 1080p@30fps,Chụp bằng cử chỉHẹn giờ chụp tự độngTự tạo bộ lọcChế độ chân dung,Quay phim 4K,,Kính aluminosilicat,100% DCI-P3,,Double rear camera,ƒ/2.45,Ultra Wide,Single selfie camera,,1.07 tỷ,,,,,,,,,,,,,,,,,
4,OPPO Find N3 5G 16GB 512GB,26.990.000đ,/dien-thoai/oppo-find-n3,Trung Quốc,10/2023,12 tháng,153.4 x 143.1 x 5.9 mm,245 g,Mặt lưng máy: kính cường lực Gorilla Glass 5 (màu vàng)Mặt lưng máy: Da (màu đen)Khung máy: Kim loại,Qualcomm Snapdragon 8 Gen 2,,8,3.2 GHz,16 GB,7.82 inch,2K+,2K+,2268 x 2440 pixels,120 Hz,,2800 nit,Adreno 740,512 GB,Không giới hạn,Không,,Wide,48.0 MP,20.0 MP,Cảm biến tiệm cậnCảm biến vân tayCảm biến ánh sángCảm biến gia tốcCon quay hồi chuyểnCảm biến trọng lực,Mở khóa khuôn mặtMở khóa vân tay dưới màn hìnhMở khóa bằng mật mã,,2,2 Nano SIM,5G,Audio Jack: Type CCổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)Wi-Fi DirectWi-Fi HotspotWifi 6802.11 a/b/g/n/ac/ac wave 2/ax,GPSQZSSGLONASSGALILEOBEIDOU,v5.3,OTGNFC,Lithium polymer,4805 mAh,Sạc nhanh SuperVOOC 67W,Android,Android 13.0,Sách HDSDQue lấy SIMỐp lưngCáp Type CSạc,IPX4,,,426 ppi,,HD 720p@30fpsFullHD 1080p@30fps4K 2160p@30fps,Tự động lấy nét (AF)Nhận diện khuôn mặtHDRXoá phôngLàm đẹp (Beautify)Bộ lọc màuBan đêm (Night Mode),Quay phim 4KQuay phim HDQuay phim FullHD,,Kính Schott UTG,,,Triple rear camera,ƒ/2.4,Telephoto,Double selfie camera,,1 Tỷ,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,6.3 inch,Ultra Wide,32 MP,,,,,,,,,,,,
5,Nubia Air 5G 8GB 256GB,5.490.000đ,/dien-thoai/nubia-air,Trung Quốc,09/2025,18 tháng,164.2 x 76.6 x 5.9 mm,172 g,Mặt lưng máy: NhựaKhung viền: Nhựa,Unisoc T8300,Octa-Core,8,2.2 GHz,8 GB,6.78 inch,AMOLED,1.5K,1224 x 2720 pixels,120 Hz,Điện dung đa điểm,4500 nits,Mali-G57 MP2,256 GB,,Không,,Standard,2.0 MP,20.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến la bànCon quay hồi chuyểnCảm biến tiệm cận,Mở khóa vân tay dưới màn hìnhMật khẩuMở khóa khuôn mặt,Circle o searchAI Photo,2,2 Nano SIM,5G,Cổng sạc: Type C,802.11 a/b/g/n/ac,GPSGALILEOGLONASS,v5.4,NFCOTG,Lithium polymer,5000 mAh,Sạc nhanh 33 W,Android,Android 15,SạcCápỐp lưngQue lấy SIMSách HDSD,"IP68, IP69",,,440 ppi,,1080p@30fps,Flash LEDAI CAM,,,Corning Gorilla Glass 7i,100% DCI-P3,5.000.000 : 1,Double rear camera,ƒ/2.0,Depth,,,,,,,,,,,,,,,,,,,,
6,Honor Magic V3 5G 12GB 512GB,29.990.000đ,/dien-thoai/honor-magic-v3,Trung Quốc,12/2024,24 tháng,Khi mở ra: 156.6 x 145.3 x 4.35 mm -  Khi gập lại: 156.6 x 74 x 9.2 mm,226 g,Khung máy: Kim loại,Snapdragon 8 Gen 3,Octa-Core,8,,12 GB,7.9 inch,OLED,OLED,2156 x 2344 Pixels,120 Hz,Điện dung đa điểm,Màn hình ngoài: 5000 nits - Màn hình trong: 1800 nits,Adreno 750,512 GB,,,,Wide,50.0 MP,20.0 MP,Cảm biến trọng lựcHồng ngoạiCảm biến la bànCon quay hồi chuyểnCảm biến khí áp kếCảm biến nhiệt độCảm biến tiệm cậnCảm biến ánh sáng,Mở khóa vân tayMở khóa bằng mật mãMở khóa khuôn mặt,,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",5G,Type C,802.11 a/b/g/n/ac/6e/7Dual-band (2.4 GHz/ 5 GHz)Wi-Fi Direct,GPSA-GPSGLONASSGALILEOBEIDOUQZSS,v5.3,NFCOTG,Silicon carbon,5150 mAh,Sạc nhanh 66W,Android,Android 14 (Magic OS 8.0.1),Ốp lưngCủ sạcDây cáp sạcSách HDSDThẻ bảo hành,IPX8,89%,,402 ppi,Khoảng 474 GB,FullHD 1080p@120fps4K 2160p@60fps,Chế độ chân dungBộ lọc màuHình mờGương phản chiếuHẹn giờ chụp tự độngBan đêm (Night Mode)Chụp bằng cử chỉ,4K (3840×2160 Pixel),,,,,Triple rear camera,ƒ/2.2,Ultra Wide,Single selfie camera,,1 Tỷ,,,6.43 inch,Telephoto,,,,,,,,,,,,,
7,Nubia V70 Design 8GB 128GB,3.090.000đ,/dien-thoai/nubia-v70-design,Trung Quốc,11/2024,18 tháng,165.8 x 77.1 x 8.2 mm,206 g,Khung máy: Nhựa cao cấpMặt lưng máy: Kính cường lựcMặt lưng máy: Polymer Silicon,Unisoc T606,Octa-Core,8,1.6 GHz,8 GB,6.7 inch,IPS LCD,HD+,720 x 1600 Pixels,120 Hz,Điện dung đa điểm,,Mali-G57 MP1,128 GB,Không giới hạn,MicroSD,,Wide,2.0 MP,16.0 MP,Cảm biến vân tayCảm biến gia tốcCảm biến tiệm cậnCảm biến ánh sáng,Mật khẩuMở khoá vân tay cạnh viền,,2,2 Nano SIM,4G,Cổng sạc: Type C,802.11 b/g/n/ac,GPSGALILEOGLONASS,v5.2,NFC,Lithium polymer,5000 mAh,Sạc nhanh 22.5 W,Android,Android 14,Cáp USB Type CSạcỐp lưngSách HDSDQue lấy SIM,,,,264 ppi,,1080p@30fps,HDRFlash LEDToàn cảnh (Panorama),Quay phim HD,,,,,,ƒ/1.8,Ống kính phụ trợ,,,,,,,,,,,,,,,,,,,,
8,TCL 60R 5G 4GB 128GB,2.990.000đ,/dien-thoai/tcl-60r,Trung Quốc,05/2025,18 tháng,165.62 x 76.2 x 8.16 mm,190 g,Khung viền: NhựaMặt lưng máy: Nhựa,Media Tek Dimensity 6300,Octa-Core,8,,4 GB,6.7 inch,IPS LCD,HD+,720 x 1600 Pixels,120 Hz,Điện dung đa điểm,480 nits,Mali-G57 MC2,128 GB,Không giới hạn,MicroSD,2 TB,Wide,50 MP,8.0 MP,Cảm biến gia tốcCảm biến tiệm cận,Mở khóa khuôn mặtMật khẩu,,2,2 Nano SIM,5G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/acWi-Fi Direct,GPSBDSGLONASSGALILEO,v5.4,OTGNFC,Lithium polymer,5200 mAh,Sạc 10 W,Android,Android 15,Cáp USB Type CCủ sạcỐp lưngSách HDSDQue lấy SIM,IP54,,,263 ppi,,1080p@30fps,HDR,1080p@30fps,,,72% NTSC,,Single rear camera,ƒ/2.0,,Single selfie camera,,,,,,,,20:9,,,,,,,,,,,
9,Tecno Spark 30 8GB 128GB,3.190.000đ,/dien-thoai/tecno-spark-30-8gb,Trung Quốc,03/2025,13 tháng,168 x 76.43 x 7.70 mm,180 g,Mặt lưng máy: NhựaKhung máy: Nhôm,MediaTek Helio G91,Octa-Core,8,,8 GB,6.78 inch,LCD,FHD+,1080 x 2460 Pixels,90 Hz,Điện dung đa điểm,800 nits,Mali-G52 MP2,128 GB,,MicroSD,1 TB,,2.0 MP,13.0 MP,Con quay hồi chuyểnCảm biến ánh sángCảm biến tiệm cậnCảm biến gia tốc,Mở khóa khuôn mặtMở khoá vân tay cạnh viền,,2,2 Nano SIM,4G,Cổng sạc: Type C,Dual-band (2.4 GHz/ 5 GHz)802.11 a/b/g/n/acWi-Fi DirectWi-Fi Hotspot,BEIDOUGALILEOGLONASSGPS,v5.0,Loa képOTGNFC,Lithium polymer,5000 mAh,Sạc nhanh 18 W,Android,Android 14,Sách HDSDỐp lưngCủ sạcDây cáp sạc,IP64,91.04%,2 x Cortex A75 2.0 GHz + 6 x Cortex A55 1.8 GHz,,Khoảng 115 GB,FullHD 1080p@120fps,Làm đẹp (Beautify)Xóa phông,,,Kính Cường Lực Lumishield,,,,,,,,,,,,,,,,,,,,,,,,,
