name;price;display_size;display_tech;back_cam;front_cam;CPU;NFC;RAM;storage_cap;battery;SIM;resolution;screen_func;os;Loại CPU;size;weight;material;refresh_rate;GPU;external_storage;waterproof;max_charging;security;external_stoage
samsung galaxy s26 ultra;32990000.0;6.9 inches;Dynamic AMOLED 2X;Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP;12MP;Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm);Có;12 GB;256 GB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;163.6 x 78.1 x 7.9 mm;214 g;Khung viền: Armor aluminum;120 Hz;Đang cập nhật;;IP68;60 W;Mở khoá vân tay dưới màn hình;
samsung galaxy s26 ultra;32990000.0;6.9 inches;Dynamic AMOLED 2X;Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP;12MP;Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm);Có;12 GB;256 GB;5000 mAh;2 Nano-SIM + eSIM;3120 x 1440 pixels (Quad HD+);Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;163.6 x 78.1 x 7.9 mm;214 g;Khung viền: Armor aluminum;120 Hz;Đang cập nhật;;IP68;60 W;Mở khoá vân tay dưới màn hình;
iphone 17 pro;34590000.0;6.3 inches;Super Retina XDR;Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x;Camera 18MP Center Stage Khẩu độ ƒ/1.9;Chip A19 Pro;Có;12 GB;256 GB;31 Giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2622 x 1206  pixels;Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn;iOS 26;CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;150 x 79.1 x 8.75 mm;204 g;Khung máy: Nhôm nguyên khốiMặt lưng máy: Ceramic Shield;120 Hz;Apple GPU 6 nhân;;IP68;40 W;Mở khoá khuôn mặt Face ID;
iphone 17 pro max;0.0;6.9 inches;Super Retina XDR;Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x;Camera 18MP Center Stage Khẩu độ ƒ/1.9;Chip A19 Pro;Có;12 GB;256 GB;37 Giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2868 x 1320 pixels;Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn;iOS 26;CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện;163.4 x 78 x 8.75 mm;231 g;Khung máy: Nhôm nguyên khốiMặt lưng máy: Ceramic Shield;120 Hz;Apple GPU 6 nhân;;IP68;40 W;Mở khoá khuôn mặt Face ID;
iphone 17;24690000.0;6.3 inches;Super Retina XDR OLED;48MP Fusion Main f/1.6 OIS12MP Tele 2x f/1.6 OIS48MP Ultra Wide f/2.2 120°;18MP Center Stage, f/1.9, PDAF;Apple A19;Có;8 GB;256 GB;Xem video: 30 giờXem video trực tuyến: 27 giờ;Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim;2622 x 1206  pixels;Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi;iOS 26;6 lõi (2 hiệu năng + 4 tiết kiệm điện);149.6 x 71.5 x 7.95 mm;177 g;Khung máy: Nhôm nguyên khốiMặt lưng máy: Kính pha màu;120 Hz;Apple GPU 5 nhân;;IP68;40 W;Mở khoá khuôn mặt Face ID;
iphone air;24990000.0;6.5 inches;Super Retina XDR;48MP Fusion Main f/1.6;18MP Center Stage f/1.6;Chip A19 Pro;Có;12 GB;256 GB;Xem video: 27 giờXem video trực tuyến: 22 giờ;2 eSIM;2736 x 1260 pixels;Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi;iOS 26;6 lõi (2 hiệu năng + 4 tiết kiệm điện);156.2 x 74.7 x 5.64 mm;165 g;Mặt lưng máy: Ceramic ShieldKhung máy: Titanium;120 Hz;Apple GPU 5 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
iphone air;24990000.0;6.5 inches;Super Retina XDR;48MP Fusion Main f/1.6;18MP Center Stage f/1.6;Chip A19 Pro;Có;12 GB;256 GB;Xem video: 27 giờXem video trực tuyến: 22 giờ;2 eSIM;2736 x 1260 pixels;Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi;iOS 26;6 lõi (2 hiệu năng + 4 tiết kiệm điện);156.2 x 74.7 x 5.64 mm;165 g;Mặt lưng máy: Ceramic ShieldKhung máy: Titanium;120 Hz;Apple GPU 5 nhân;;IP68;20 W;Mở khoá khuôn mặt Face ID;
samsung galaxy s26;22990000.0;6.3 inches;Dynamic AMOLED 2X;Camera siêu rộng: 12MPCamera góc rộng: 50MPCamera Tele: 10MP;12MP;Exynos 2600 (2nm);Có;12 GB;256 GB;4300 mAh;2 Nano-SIM + eSIM;2340 x 1080-pixel;Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits;Android;;149.6 x 71.7 x 7.2 mm;167 g;Khung viền: Armor aluminum;120 Hz;Đang cập nhật;;IP68;25 W;Mở khoá vân tay dưới màn hình;
oppo reno15 f;0.0;6.57 inches;AMOLED;Chính 50MP f/1.8 (OIS, AF) + Góc siêu rộng 8MP f/2.2 + Macro 2MP f/2.4;50MP f/2.0, hỗ trợ AF;Qualcomm Snapdragon 6 Gen 1 5G;Có;8 GB;256 GB;7000mAh;2 Nano SIM (Sim 2 chung khe với thẻ nhớ);1080 x 2372 pixels (FullHD+);1.07 tỷ màu (10-bit), DCI-P3 100%, Độ sáng tối đa 1400 nits;ColorOS 16.0;8 nhân;158.18 x 74.93 x 8.27 mm;202 g;Mặt lưng máy: Kính (Xanh nhạt) / Nhựa Valvet ( Hồng, Xanh dương)Khung viền: Nhựa;120;Adreno 710;;IP66, IP68, IP69;80 W;Mở khoá vân tay dưới màn hình;MicroSD, hỗ trợ tối đa 2 TB
samsung galaxy z flip7;23990000.0;6.9 inches;Dynamic AMOLED 2X;50 MP, F1.8 + 12 MP, F2.2;10MP, F2.2;Exynos 2500;Có;12 GB;256 GB;4300mAh;2 Nano-SIM;2520 x 1080 Pixels;"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2520 x 1080 (FHD+)Kích cỡ màn hình phụ: 4.1""Độ phân giải màn hình phụ: 1048 x 948Công nghệ màn hình phụ: Super AMOLEDĐộ sâu màu sắc: 16M";Android;10 nhân, 3.3 GHz, 2.74GHz, 2.36GHz, 1.8GHz;166.7 x 75.2 x 6.5 mm;188 g;Khung máy: Armor aluminum;120 Hz;Adreno750;;IPX8;25 W;Mở khoá vân tay cạnh viền;
